Metric,Value
Participants,12.0
Hours (24 x n),288.0
Too little insulin,195.0
Too much insulin,92.0
Optimal,1.0
Missing,0.0
"Off-target %, pooled count",99.65
"Off-target %, excl. missing",99.65
"Off-target %, mean across participants",99.65
Off-target % SD between participants,1.2
Off-target % CI95 low (t),98.89
"Off-target % CI95 high (t, exceeds 100 - not reported)",100.42
Optimal hours per participant,0.083
